zip,type,primary_city,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population_2015
670,STANDARD,Las Marias,PR,Las Marias Municipio,America/Puerto_Rico,"787,939",NA,US,18.27,-67.06,0
674,STANDARD,Manati,PR,Manati Municipio,America/Puerto_Rico,"787,939",NA,US,18.43,-66.48,0
676,STANDARD,Moca,PR,Moca Municipio,America/Puerto_Rico,787,NA,US,18.39,-67.11,0
677,STANDARD,Rincon,PR,Rincon Municipio,America/Puerto_Rico,"787,939",NA,US,18.34,-67.25,0
678,STANDARD,Quebradillas,PR,Quebradillas Municipio,America/Puerto_Rico,787,NA,US,18.47,-66.93,0
680,STANDARD,Mayaguez,PR,Mayaguez Municipio,America/Puerto_Rico,"787,939",NA,US,18.2,-67.14,0
681,PO BOX,Mayaguez,PR,,America/Puerto_Rico,,NA,US,18.2,-67.14,0
682,STANDARD,Mayaguez,PR,Mayaguez Municipio,America/Puerto_Rico,"787,939",NA,US,18.22,-67.16,0
683,STANDARD,San German,PR,San German Municipio,America/Puerto_Rico,"787,939",NA,US,18.08,-67.04,0
685,STANDARD,San Sebastian,PR,San Sebastian Municipio,America/Puerto_Rico,787,NA,US,18.33,-66.99,0
687,STANDARD,Morovis,PR,Morovis Municipio,America/Puerto_Rico,787,NA,US,18.32,-66.4,0
688,STANDARD,Sabana Hoyos,PR,Arecibo Municipio,America/Puerto_Rico,787,NA,US,18.38,-66.62,0
690,STANDARD,San Antonio,PR,Aguadilla Municipio,America/Puerto_Rico,,NA,US,18.49,-67.09,0
692,STANDARD,Vega Alta,PR,Vega Alta Municipio,America/Puerto_Rico,787,NA,US,18.41,-66.32,0
693,STANDARD,Vega Baja,PR,Vega Baja Municipio,America/Puerto_Rico,787,NA,US,18.44,-66.39,0
694,PO BOX,Vega Baja,PR,Vega Baja Municipio,America/Puerto_Rico,,NA,US,18.48,-66.39,0
698,STANDARD,Yauco,PR,Yauco Municipio,America/Puerto_Rico,787,NA,US,18.03,-66.86,0
703,STANDARD,Aguas Buenas,PR,Aguas Buenas Municipio,America/Puerto_Rico,787,NA,US,18.25,-66.1,0
704,STANDARD,Aguirre,PR,Salinas Municipio,America/Puerto_Rico,,NA,US,17.96,-66.22,0
705,STANDARD,Aibonito,PR,Aibonito Municipio,America/Puerto_Rico,787,NA,US,18.14,-66.26,0
707,STANDARD,Maunabo,PR,Maunabo Municipio,America/Puerto_Rico,"787,939",NA,US,18,-65.9,0
714,STANDARD,Arroyo,PR,Arroyo Municipio,America/Puerto_Rico,"787,939",NA,US,17.97,-66.06,0
715,STANDARD,Mercedita,PR,Ponce Municipio,America/Puerto_Rico,787,NA,US,18.01,-66.56,0
716,STANDARD,Ponce,PR,Ponce Municipio,America/Puerto_Rico,"787,939",NA,US,17.98,-66.6,0
717,STANDARD,Ponce,PR,Ponce Municipio,America/Puerto_Rico,"787,939",NA,US,18,-66.61,0
718,STANDARD,Naguabo,PR,Naguabo Municipio,America/Puerto_Rico,787,NA,US,18.21,-65.73,0
719,STANDARD,Naranjito,PR,Naranjito Municipio,America/Puerto_Rico,787,NA,US,18.3,-66.24,0
720,STANDARD,Orocovis,PR,Orocovis Municipio,America/Puerto_Rico,"787,939",NA,US,18.22,-66.39,0
721,PO BOX,Palmer,PR,,America/Puerto_Rico,,NA,US,18.37,-65.77,0
723,STANDARD,Patillas,PR,Patillas Municipio,America/Puerto_Rico,,NA,US,18,-66.01,0
725,STANDARD,Caguas,PR,Caguas Municipio,America/Puerto_Rico,"787,939",NA,US,18.23,-66.03,0
726,PO BOX,Caguas,PR,,America/Puerto_Rico,,NA,US,18.23,-66.03,0
727,STANDARD,Caguas,PR,Caguas Municipio,America/Puerto_Rico,"787,939",NA,US,18.22,-66.07,0
728,STANDARD,Ponce,PR,Ponce Municipio,America/Puerto_Rico,,NA,US,17.99,-66.66,0
729,STANDARD,Canovanas,PR,Canovanas Municipio,America/Puerto_Rico,787,NA,US,18.37,-65.9,0
730,STANDARD,Ponce,PR,Ponce Municipio,America/Puerto_Rico,"787,939",NA,US,18.03,-66.62,0
731,STANDARD,Ponce,PR,Ponce Municipio,America/Puerto_Rico,787,NA,US,18.11,-66.63,0
732,PO BOX,Ponce,PR,,America/Puerto_Rico,,NA,US,17.98,-66.6,0
733,PO BOX,Ponce,PR,,America/Puerto_Rico,,NA,US,17.98,-66.6,0
734,PO BOX,Ponce,PR,,America/Puerto_Rico,,NA,US,17.98,-66.6,0
735,STANDARD,Ceiba,PR,Ceiba Municipio,America/Puerto_Rico,787,NA,US,18.25,-65.68,0
736,STANDARD,Cayey,PR,Cayey Municipio,America/Puerto_Rico,"787,939",NA,US,18.11,-66.16,0
737,PO BOX,Cayey,PR,,America/Puerto_Rico,,NA,US,18.11,-66.16,0
738,STANDARD,Fajardo,PR,Fajardo Municipio,America/Puerto_Rico,"787,939",NA,US,18.33,-65.65,0
739,STANDARD,Cidra,PR,Cidra Municipio,America/Puerto_Rico,787,NA,US,18.17,-66.15,0
740,STANDARD,Puerto Real,PR,Fajardo Municipio,America/Puerto_Rico,,NA,US,18.33,-65.63,0
741,STANDARD,Punta Santiago,PR,Humacao Municipio,America/Puerto_Rico,,NA,US,18.16,-65.75,0
742,PO BOX,Roosevelt Roads,PR,,America/Puerto_Rico,,NA,US,18.27,-65.65,0
744,PO BOX,Rio Blanco,PR,,America/Puerto_Rico,,NA,US,18.22,-65.79,0
745,STANDARD,Rio Grande,PR,Rio Grande Municipio,America/Puerto_Rico,787,NA,US,18.38,-65.83,0
751,STANDARD,Salinas,PR,Salinas Municipio,America/Puerto_Rico,787,NA,US,17.97,-66.29,0
754,STANDARD,San Lorenzo,PR,San Lorenzo Municipio,America/Puerto_Rico,787,NA,US,18.19,-65.96,0
757,STANDARD,Santa Isabel,PR,Santa Isabel Municipio,America/Puerto_Rico,787,NA,US,17.97,-66.4,0
765,STANDARD,Vieques,PR,Vieques Municipio,America/Puerto_Rico,787,NA,US,18.13,-65.44,0
766,STANDARD,Villalba,PR,Villalba Municipio,America/Puerto_Rico,"787,939",NA,US,18.13,-66.48,0
767,STANDARD,Yabucoa,PR,Yabucoa Municipio,America/Puerto_Rico,787,NA,US,18.04,-65.87,0
769,STANDARD,Coamo,PR,Coamo Municipio,America/Puerto_Rico,787,NA,US,18.08,-66.36,0
771,STANDARD,Las Piedras,PR,Las Piedras Municipio,America/Puerto_Rico,787,NA,US,18.18,-65.86,0
772,STANDARD,Loiza,PR,Loiza Municipio,America/Puerto_Rico,,NA,US,18.43,-65.88,0
773,STANDARD,Luquillo,PR,Luquillo Municipio,America/Puerto_Rico,"787,939",NA,US,18.37,-65.71,0
775,PO BOX,Culebra,PR,Culebra Municipio,America/Puerto_Rico,,NA,US,18.33,-65.3,0
777,STANDARD,Juncos,PR,Juncos Municipio,America/Puerto_Rico,787,NA,US,18.22,-65.91,0
778,STANDARD,Gurabo,PR,Gurabo Municipio,America/Puerto_Rico,787,NA,US,18.25,-65.97,0
780,STANDARD,Coto Laurel,PR,Ponce Municipio,America/Puerto_Rico,"787,939",NA,US,18.09,-66.57,0
782,STANDARD,Comerio,PR,Comerio Municipio,America/Puerto_Rico,787,NA,US,18.22,-66.22,0
783,STANDARD,Corozal,PR,Corozal Municipio,America/Puerto_Rico,787,NA,US,18.34,-66.31,0
784,STANDARD,Guayama,PR,Guayama Municipio,America/Puerto_Rico,"787,939",NA,US,17.97,-66.11,0
785,PO BOX,Guayama,PR,,America/Puerto_Rico,,NA,US,17.97,-66.11,0
786,PO BOX,La Plata,PR,Aibonito Municipio,America/Puerto_Rico,,NA,US,18.16,-66.23,0
791,STANDARD,Humacao,PR,Humacao Municipio,America/Puerto_Rico,787,NA,US,18.15,-65.81,0
792,PO BOX,Humacao,PR,,America/Puerto_Rico,,NA,US,18.15,-65.81,0
794,STANDARD,Barranquitas,PR,Barranquitas Municipio,America/Puerto_Rico,787,NA,US,18.18,-66.3,0
795,STANDARD,Juana Diaz,PR,Juana Diaz Municipio,America/Puerto_Rico,"939,787",NA,US,18.05,-66.5,0
801,PO BOX,St Thomas,VI,,America/St_Thomas,,NA,US,18.35,-64.93,0
802,STANDARD,St Thomas,VI,,America/St_Thomas,340,NA,US,18.35,-64.93,0
803,PO BOX,St Thomas,VI,,America/St_Thomas,,NA,US,18.35,-64.93,0
804,PO BOX,St Thomas,VI,,America/St_Thomas,,NA,US,18.35,-64.93,0
805,PO BOX,St Thomas,VI,,America/St_Thomas,,NA,US,18.34,-64.93,0
820,STANDARD,Christiansted,VI,,America/St_Thomas,340,NA,US,17.74,-64.7,0
821,PO BOX,Christiansted,VI,,America/St_Thomas,,NA,US,17.74,-64.7,0
822,PO BOX,Christiansted,VI,,America/St_Thomas,,NA,US,17.74,-64.7,0
823,PO BOX,Christiansted,VI,,America/St_Thomas,,NA,US,17.74,-64.7,0
824,PO BOX,Christiansted,VI,,America/St_Thomas,,NA,US,17.74,-64.7,0
830,STANDARD,St John,VI,,America/St_Thomas,,NA,US,18.33,-64.79,0
831,PO BOX,St John,VI,,America/St_Thomas,,NA,US,18.33,-64.79,0
840,STANDARD,Frederiksted,VI,,America/St_Thomas,340,NA,US,17.71,-64.88,0
841,PO BOX,Frederiksted,VI,,America/St_Thomas,,NA,US,17.71,-64.88,0
850,STANDARD,Kingshill,VI,,America/St_Thomas,340,NA,US,17.76,-64.82,0
851,PO BOX,Kingshill,VI,,America/St_Thomas,,NA,US,17.73,-64.8,0
901,STANDARD,San Juan,PR,San Juan Municipio,America/Puerto_Rico,,NA,US,18.47,-66.1,0
902,PO BOX,San Juan,PR,,America/Puerto_Rico,,NA,US,18.4,-66.06,0
906,PO BOX,San Juan,PR,San Juan Municipio,America/Puerto_Rico,,NA,US,18.46,-66.09,0
907,STANDARD,San Juan,PR,San Juan Municipio,America/Puerto_Rico,"787,939",NA,US,18.45,-66.08,0
908,PO BOX,San Juan,PR,,America/Puerto_Rico,,NA,US,18.4,-66.06,0
909,STANDARD,San Juan,PR,San Juan Municipio,America/Puerto_Rico,"787,939",NA,US,18.44,-66.07,0
910,PO BOX,San Juan,PR,,America/Puerto_Rico,,NA,US,18.4,-66.06,0
911,STANDARD,San Juan,PR,San Juan Municipio,America/Puerto_Rico,"787,939",NA,US,18.45,-66.06,0
912,STANDARD,San Juan,PR,San Juan Municipio,America/Puerto_Rico,"787,939",NA,US,18.45,-66.06,0
913,STANDARD,San Juan,PR,San Juan Municipio,America/Puerto_Rico,"939,787",NA,US,18.45,-66.04,0
914,PO BOX,San Juan,PR,,America/Puerto_Rico,,NA,US,18.4,-66.06,0
915,STANDARD,San Juan,PR,San Juan Municipio,America/Puerto_Rico,787,NA,US,18.44,-66.05,0
916,PO BOX,San Juan,PR,,America/Puerto_Rico,,NA,US,18.4,-66.06,0
917,STANDARD,San Juan,PR,San Juan Municipio,America/Puerto_Rico,,NA,US,18.42,-66.05,0
918,STANDARD,San Juan,PR,San Juan Municipio,America/Puerto_Rico,,NA,US,18.42,-66.07,0
919,PO BOX,San Juan,PR,,America/Puerto_Rico,,NA,US,18.4,-66.06,0
920,STANDARD,San Juan,PR,San Juan Municipio,America/Puerto_Rico,"787,939",NA,US,18.41,-66.09,0
921,STANDARD,San Juan,PR,San Juan Municipio,America/Puerto_Rico,939,NA,US,18.39,-66.09,0
922,PO BOX,San Juan,PR,,America/Puerto_Rico,,NA,US,18.4,-66.06,0
923,STANDARD,San Juan,PR,San Juan Municipio,America/Puerto_Rico,,NA,US,18.41,-66.04,0
924,STANDARD,San Juan,PR,San Juan Municipio,America/Puerto_Rico,787,NA,US,18.4,-66.01,0
925,STANDARD,San Juan,PR,San Juan Municipio,America/Puerto_Rico,787,NA,US,18.4,-66.05,0
926,STANDARD,San Juan,PR,San Juan Municipio,America/Puerto_Rico,787,NA,US,18.35,-66.05,0
927,STANDARD,San Juan,PR,San Juan Municipio,America/Puerto_Rico,"787,939",NA,US,18.4,-66.06,0
928,PO BOX,San Juan,PR,,America/Puerto_Rico,,NA,US,18.4,-66.06,0
929,PO BOX,San Juan,PR,San Juan,America/Puerto_Rico,,NA,US,18.4,-66.06,0
930,PO BOX,San Juan,PR,,America/Puerto_Rico,,NA,US,18.4,-66.06,0
931,PO BOX,San Juan,PR,San Juan,America/Puerto_Rico,,NA,US,18.4,-66.06,0
933,PO BOX,San Juan,PR,San Juan,America/Puerto_Rico,,NA,US,18.4,-66.06,0
934,STANDARD,Fort Buchanan,PR,Guaynabo Municipio,America/Puerto_Rico,787,NA,US,18.41,-66.12,0
935,UNIQUE,San Juan,PR,San Juan,America/Puerto_Rico,,NA,US,18.4,-66.06,0
936,PO BOX,San Juan,PR,San Juan Municipio,America/Puerto_Rico,,NA,US,18.4,-66.07,0
937,PO BOX,San Juan,PR,San Juan,America/Puerto_Rico,,NA,US,18.4,-66.06,0
939,UNIQUE,San Juan,PR,San Juan,America/Puerto_Rico,,NA,US,18.4,-66.06,0
940,PO BOX,San Juan,PR,,America/Puerto_Rico,,NA,US,18.4,-66.06,0
949,STANDARD,Toa Baja,PR,Toa Baja Municipio,America/Puerto_Rico,"787,939",NA,US,18.44,-66.25,0
950,PO BOX,Toa Baja,PR,Dorado Municipio,America/Puerto_Rico,,NA,US,18.46,-66.23,0
951,PO BOX,Toa Baja,PR,Toa Baja Municipio,America/Puerto_Rico,,NA,US,18.43,-66.25,0
952,STANDARD,Sabana Seca,PR,Toa Baja Municipio,America/Puerto_Rico,,NA,US,18.42,-66.19,0
953,STANDARD,Toa Alta,PR,Toa Alta Municipio,America/Puerto_Rico,"939,787",NA,US,18.39,-66.25,0
954,PO BOX,Toa Alta,PR,Toa Alta,America/Puerto_Rico,,NA,US,18.39,-66.25,0
955,PO BOX,San Juan,PR,San Juan,America/Puerto_Rico,,NA,US,18.4,-66.06,0
956,STANDARD,Bayamon,PR,Bayamon Municipio,America/Puerto_Rico,"939,787",NA,US,18.32,-66.17,0
957,STANDARD,Bayamon,PR,Bayamon Municipio,America/Puerto_Rico,"787,939",NA,US,18.37,-66.19,0
958,PO BOX,Bayamon,PR,Bayamon,America/Puerto_Rico,,NA,US,18.28,-66.13,0
959,STANDARD,Bayamon,PR,Bayamon Municipio,America/Puerto_Rico,"939,787",NA,US,18.39,-66.15,0
960,PO BOX,Bayamon,PR,Bayamon Municipio,America/Puerto_Rico,,NA,US,18.42,-66.15,0
961,STANDARD,Bayamon,PR,Bayamon Municipio,America/Puerto_Rico,"787,939",NA,US,18.41,-66.17,0
962,STANDARD,Catano,PR,Catano Municipio,America/Puerto_Rico,787,NA,US,18.44,-66.15,0
963,PO BOX,Catano,PR,Catano,America/Puerto_Rico,,NA,US,18.43,-66.11,0
965,STANDARD,Guaynabo,PR,Guaynabo Municipio,America/Puerto_Rico,787,NA,US,18.43,-66.11,0
966,STANDARD,Guaynabo,PR,Guaynabo Municipio,America/Puerto_Rico,"787,939",NA,US,18.4,-66.12,0
968,STANDARD,Guaynabo,PR,Guaynabo Municipio,America/Puerto_Rico,"787,939",NA,US,18.41,-66.1,0
969,STANDARD,Guaynabo,PR,Guaynabo Municipio,America/Puerto_Rico,"787,939",NA,US,18.38,-66.11,0
970,PO BOX,Guaynabo,PR,,America/Puerto_Rico,,NA,US,18.38,-66.11,0
971,STANDARD,Guaynabo,PR,Guaynabo Municipio,America/Puerto_Rico,"787,939",NA,US,18.32,-66.12,0
975,UNIQUE,San Juan,PR,San Juan,America/Puerto_Rico,,NA,US,18.4,-66.06,0
976,STANDARD,Trujillo Alto,PR,Trujillo Alto Municipio,America/Puerto_Rico,"787,939",NA,US,18.36,-66.01,0
977,PO BOX,Trujillo Alto,PR,,America/Puerto_Rico,,NA,US,18.36,-66.01,0
978,PO BOX,Saint Just,PR,San Juan,America/Puerto_Rico,,NA,US,18.37,-66.01,0
979,STANDARD,Carolina,PR,Carolina Municipio,America/Puerto_Rico,787,NA,US,18.44,-66.03,0
981,PO BOX,Carolina,PR,Carolina,America/Puerto_Rico,,NA,US,18.4,-65.98,0
982,STANDARD,Carolina,PR,Carolina Municipio,America/Puerto_Rico,"787,939",NA,US,18.41,-65.99,0
983,STANDARD,Carolina,PR,Carolina Municipio,America/Puerto_Rico,787,NA,US,18.4,-65.98,0
984,PO BOX,Carolina,PR,Carolina,America/Puerto_Rico,,NA,US,18.4,-65.98,0
985,STANDARD,Carolina,PR,Carolina Municipio,America/Puerto_Rico,"787,939",NA,US,18.41,-65.95,0
986,PO BOX,Carolina,PR,Carolina,America/Puerto_Rico,,NA,US,18.4,-65.98,0
987,STANDARD,Carolina,PR,Carolina Municipio,America/Puerto_Rico,"787,939",NA,US,18.34,-65.94,0
988,PO BOX,Carolina,PR,Carolina,America/Puerto_Rico,,NA,US,18.4,-65.98,0
1001,STANDARD,Agawam,MA,Hampden County,America/New_York,413,NA,US,42.06,-72.61,15220
1002,STANDARD,Amherst,MA,Hampshire County,America/New_York,413,NA,US,42.37,-72.52,16570
1003,PO BOX,Amherst,MA,Hampshire County,America/New_York,413,NA,US,42.39,-72.52,184
1004,PO BOX,Amherst,MA,Hampshire County,America/New_York,413,NA,US,42.37,-72.52,794
1005,STANDARD,Barre,MA,Worcester County,America/New_York,978,NA,US,42.42,-72.1,4270
1007,STANDARD,Belchertown,MA,Hampshire County,America/New_York,413,NA,US,42.27,-72.4,14180
1008,STANDARD,Blandford,MA,Hampden County,America/New_York,413,NA,US,42.18,-72.93,1140
1009,PO BOX,Bondsville,MA,Hampden County,America/New_York,413,NA,US,42.2,-72.34,1238
1010,STANDARD,Brimfield,MA,Hampden County,America/New_York,413,NA,US,42.11,-72.2,3420
1011,STANDARD,Chester,MA,Hampden County,America/New_York,413,NA,US,42.28,-72.98,1090
1012,STANDARD,Chesterfield,MA,Hampshire County,America/New_York,413,NA,US,42.4,-72.85,610
1013,STANDARD,Chicopee,MA,Hampden County,America/New_York,413,NA,US,42.15,-72.6,18880
1014,PO BOX,Chicopee,MA,Hampden County,America/New_York,413,NA,US,42.17,-72.57,354
1020,STANDARD,Chicopee,MA,Hampden County,America/New_York,413,NA,US,42.17,-72.57,25790
1021,PO BOX,Chicopee,MA,Hampden County,America/New_York,413,NA,US,42.17,-72.57,566
1022,STANDARD,Chicopee,MA,Hampden County,America/New_York,413,NA,US,42.2,-72.54,1780
1026,STANDARD,Cummington,MA,Hampshire County,America/New_York,413,NA,US,42.46,-72.9,890
1027,STANDARD,Easthampton,MA,Hampshire County,America/New_York,413,NA,US,42.26,-72.68,16320
1028,STANDARD,East Longmeadow,MA,Hampden County,America/New_York,413,NA,US,42.06,-72.51,15330
1029,PO BOX,East Otis,MA,Berkshire County,America/New_York,413,NA,US,42.17,-73.03,557
1030,STANDARD,Feeding Hills,MA,Hampden County,America/New_York,413,NA,US,42.06,-72.67,11010
1031,STANDARD,Gilbertville,MA,Worcester County,America/New_York,413,NA,US,42.33,-72.2,1000
1032,STANDARD,Goshen,MA,Hampshire County,America/New_York,413,NA,US,42.46,-72.81,470
1033,STANDARD,Granby,MA,Hampshire County,America/New_York,413,NA,US,42.26,-72.52,5890
1034,STANDARD,Granville,MA,Hampden County,America/New_York,413,NA,US,42.06,-72.86,1860
1035,STANDARD,Hadley,MA,Hampshire County,America/New_York,413,NA,US,42.35,-72.58,4620
1036,STANDARD,Hampden,MA,Hampden County,America/New_York,413,NA,US,42.06,-72.41,4880
1037,PO BOX,Hardwick,MA,Worcester County,America/New_York,,NA,US,42.35,-72.2,779
1038,STANDARD,Hatfield,MA,Hampshire County,America/New_York,413,NA,US,42.37,-72.6,2280
1039,STANDARD,Haydenville,MA,Hampshire County,America/New_York,,NA,US,42.39,-72.7,1240
1040,STANDARD,Holyoke,MA,Hampden County,America/New_York,413,NA,US,42.21,-72.64,29750
1041,PO BOX,Holyoke,MA,Hampden County,America/New_York,413,NA,US,42.21,-72.64,1408
1050,STANDARD,Huntington,MA,Hampshire County,America/New_York,413,NA,US,42.23,-72.88,2270
1053,STANDARD,Leeds,MA,Hampshire County,America/New_York,413,NA,US,42.35,-72.71,1520
1054,STANDARD,Leverett,MA,Franklin County,America/New_York,,NA,US,42.45,-72.5,1750
1056,STANDARD,Ludlow,MA,Hampden County,America/New_York,413,NA,US,42.16,-72.48,18130
1057,STANDARD,Monson,MA,Hampden County,America/New_York,413,NA,US,42.09,-72.31,7600
1059,PO BOX,North Amherst,MA,Hampshire County,America/New_York,413,NA,US,42.4,-72.52,70
1060,STANDARD,Northampton,MA,Hampshire County,America/New_York,413,NA,US,42.32,-72.63,11260
1061,PO BOX,Northampton,MA,Hampshire County,America/New_York,413,NA,US,42.32,-72.67,469
1062,STANDARD,Florence,MA,Hampshire County,America/New_York,413,NA,US,42.32,-72.67,10090
1063,UNIQUE,Northampton,MA,Hampshire County,America/New_York,413,NA,US,42.32,-72.64,177
1066,PO BOX,North Hatfield,MA,Hampshire County,America/New_York,413,NA,US,42.41,-72.66,402
1068,STANDARD,Oakham,MA,Worcester County,America/New_York,"508,774",NA,US,42.35,-72.05,1790
1069,STANDARD,Palmer,MA,Hampden County,America/New_York,413,NA,US,42.16,-72.32,7190
1070,STANDARD,Plainfield,MA,Hampshire County,America/New_York,413,NA,US,42.51,-72.91,540
1071,STANDARD,Russell,MA,Hampden County,America/New_York,413,NA,US,42.18,-72.85,1390
1072,STANDARD,Shutesbury,MA,Franklin County,America/New_York,,NA,US,42.45,-72.4,1350
1073,STANDARD,Southampton,MA,Hampshire County,America/New_York,413,NA,US,42.23,-72.73,5980
1074,PO BOX,South Barre,MA,Worcester County,America/New_York,351,NA,US,42.39,-72.09,655
1075,STANDARD,South Hadley,MA,Hampshire County,America/New_York,413,NA,US,42.26,-72.56,14590
1077,STANDARD,Southwick,MA,Hampden County,America/New_York,413,NA,US,42.05,-72.76,8820
1079,PO BOX,Thorndike,MA,Hampden County,America/New_York,413,NA,US,42.2,-72.33,992
1080,STANDARD,Three Rivers,MA,Hampden County,America/New_York,413,NA,US,42.18,-72.37,2000
1081,STANDARD,Wales,MA,Hampden County,America/New_York,413,NA,US,42.06,-72.21,1490
1082,STANDARD,Ware,MA,Hampshire County,America/New_York,413,NA,US,42.25,-72.24,8840
1083,PO BOX,Warren,MA,Worcester County,America/New_York,,NA,US,42.21,-72.19,3037
1084,STANDARD,West Chesterfield,MA,Hampshire County,America/New_York,413,NA,US,42.39,-72.88,137
1085,STANDARD,Westfield,MA,Hampden County,America/New_York,413,NA,US,42.13,-72.75,34780
1086,PO BOX,Westfield,MA,Hampden County,America/New_York,413,NA,US,42.13,-72.79,886
1088,STANDARD,West Hatfield,MA,Hampshire County,America/New_York,413,NA,US,42.39,-72.64,490
1089,STANDARD,West Springfield,MA,Hampden County,America/New_York,413,NA,US,42.12,-72.65,25520
1090,PO BOX,West Springfield,MA,Hampden County,America/New_York,413,NA,US,42.12,-72.65,510
1092,PO BOX,West Warren,MA,Worcester County,America/New_York,,NA,US,42.19,-72.24,1332
1093,PO BOX,Whately,MA,Franklin County,America/New_York,,NA,US,42.44,-72.65,516
1094,PO BOX,Wheelwright,MA,Worcester County,America/New_York,,NA,US,42.35,-72.14,340
1095,STANDARD,Wilbraham,MA,Hampden County,America/New_York,413,NA,US,42.13,-72.43,13840
1096,STANDARD,Williamsburg,MA,Hampshire County,America/New_York,413,NA,US,42.4,-72.76,2310
1097,PO BOX,Woronoco,MA,Hampden County,America/New_York,413,NA,US,42.18,-72.83,88
1098,STANDARD,Worthington,MA,Hampshire County,America/New_York,413,NA,US,42.41,-72.93,1060
1101,PO BOX,Springfield,MA,Hampden County,America/New_York,413,NA,US,42.11,-72.53,2038
1102,PO BOX,Springfield,MA,Hampden County,America/New_York,413,NA,US,42.11,-72.53,0
1103,STANDARD,Springfield,MA,Hampden County,America/New_York,413,NA,US,42.1,-72.59,1580
